,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.8160535117056856,0.794,accuracy,0.026596546173095703,0.003000020980834961,0.40833306312561035,0.026596546173095703,0.003000020980834961,0.40833306312561035,1,True,11
1,LightGBM,0.802675585284281,0.792,accuracy,0.0029993057250976562,0.002967357635498047,0.5226948261260986,0.0029993057250976562,0.002967357635498047,0.5226948261260986,1,True,4
2,CatBoost,0.802675585284281,0.818,accuracy,0.005954742431640625,0.0020003318786621094,2.4363794326782227,0.005954742431640625,0.0020003318786621094,2.4363794326782227,1,True,7
3,WeightedEnsemble_L2,0.7959866220735786,0.82,accuracy,0.011952638626098633,0.004967689514160156,3.078850746154785,0.0029985904693603516,0.0,0.11977648735046387,2,True,14
4,LightGBMXT,0.782608695652174,0.798,accuracy,0.015504598617553711,0.005967617034912109,0.9315853118896484,0.015504598617553711,0.005967617034912109,0.9315853118896484,1,True,3
5,RandomForestEntr,0.7759197324414716,0.766,accuracy,0.0792388916015625,0.052181243896484375,0.594106912612915,0.0792388916015625,0.052181243896484375,0.594106912612915,1,True,6
6,RandomForestGini,0.7725752508361204,0.764,accuracy,0.07551407814025879,0.0473935604095459,0.5706179141998291,0.07551407814025879,0.0473935604095459,0.5706179141998291,1,True,5
7,LightGBMLarge,0.7692307692307693,0.786,accuracy,0.026998281478881836,0.005980968475341797,1.453334093093872,0.026998281478881836,0.005980968475341797,1.453334093093872,1,True,13
8,NeuralNetTorch,0.7558528428093646,0.728,accuracy,0.025998830795288086,0.004981040954589844,10.778196096420288,0.025998830795288086,0.004981040954589844,10.778196096420288,1,True,12
9,ExtraTreesGini,0.7491638795986622,0.754,accuracy,0.07862401008605957,0.08937764167785645,0.9554712772369385,0.07862401008605957,0.08937764167785645,0.9554712772369385,1,True,8
10,ExtraTreesEntr,0.745819397993311,0.758,accuracy,0.09164929389953613,0.0712900161743164,1.077301263809204,0.09164929389953613,0.0712900161743164,1.077301263809204,1,True,9
11,NeuralNetFastAI,0.68561872909699,0.694,accuracy,0.024484872817993164,0.009001493453979492,2.758024215698242,0.024484872817993164,0.009001493453979492,2.758024215698242,1,True,10
12,KNeighborsUnif,0.6488294314381271,0.646,accuracy,0.03365969657897949,0.01697373390197754,0.005105257034301758,0.03365969657897949,0.01697373390197754,0.005105257034301758,1,True,1
13,KNeighborsDist,0.6454849498327759,0.656,accuracy,0.03413820266723633,0.01715254783630371,0.005084991455078125,0.03413820266723633,0.01715254783630371,0.005084991455078125,1,True,2
