,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestEntr,0.6879194630872483,0.664,accuracy,0.08016777038574219,0.04954862594604492,0.6837422847747803,0.08016777038574219,0.04954862594604492,0.6837422847747803,1,True,7
1,CatBoost,0.6845637583892618,0.692,accuracy,0.008964300155639648,0.0010449886322021484,2.0628714561462402,0.008964300155639648,0.0010449886322021484,2.0628714561462402,1,True,8
2,RandomForestGini,0.674496644295302,0.684,accuracy,0.09548282623291016,0.05830240249633789,0.6473772525787354,0.09548282623291016,0.05830240249633789,0.6473772525787354,1,True,6
3,LightGBMXT,0.6711409395973155,0.684,accuracy,0.016457080841064453,0.008001565933227539,0.9659194946289062,0.016457080841064453,0.008001565933227539,0.9659194946289062,1,True,4
4,LightGBM,0.6610738255033557,0.708,accuracy,0.004719734191894531,0.00400853157043457,0.7650072574615479,0.004719734191894531,0.00400853157043457,0.7650072574615479,1,True,5
5,XGBoost,0.6510067114093959,0.718,accuracy,0.07757449150085449,0.011001825332641602,1.6667721271514893,0.07757449150085449,0.011001825332641602,1.6667721271514893,1,True,11
6,WeightedEnsemble_L2,0.6510067114093959,0.718,accuracy,0.08057355880737305,0.012065410614013672,1.7871382236480713,0.0029990673065185547,0.0010635852813720703,0.12036609649658203,2,True,14
7,LightGBMLarge,0.6476510067114094,0.694,accuracy,0.038001060485839844,0.008002996444702148,2.62756085395813,0.038001060485839844,0.008002996444702148,2.62756085395813,1,True,13
8,ExtraTreesGini,0.6375838926174496,0.648,accuracy,0.13155484199523926,0.05024218559265137,0.720344066619873,0.13155484199523926,0.05024218559265137,0.720344066619873,1,True,9
9,ExtraTreesEntr,0.62751677852349,0.654,accuracy,0.15341782569885254,0.07105159759521484,0.6235864162445068,0.15341782569885254,0.07105159759521484,0.6235864162445068,1,True,10
10,NeuralNetTorch,0.5838926174496645,0.61,accuracy,0.010999441146850586,0.004955768585205078,6.323218107223511,0.010999441146850586,0.004955768585205078,6.323218107223511,1,True,12
11,NeuralNetFastAI,0.5838926174496645,0.59,accuracy,0.016359329223632812,0.00890350341796875,2.4446871280670166,0.016359329223632812,0.00890350341796875,2.4446871280670166,1,True,3
12,KNeighborsUnif,0.5503355704697986,0.548,accuracy,0.019969463348388672,0.019000768661499023,0.004980325698852539,0.019969463348388672,0.019000768661499023,0.004980325698852539,1,True,1
13,KNeighborsDist,0.5234899328859061,0.566,accuracy,0.02145671844482422,0.020512819290161133,0.0050220489501953125,0.02145671844482422,0.020512819290161133,0.0050220489501953125,1,True,2
