,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.802675585284281,0.794,accuracy,0.011999130249023438,0.007001161575317383,1.2867934703826904,0.011999130249023438,0.007001161575317383,1.2867934703826904,1,True,4
1,CatBoost,0.7792642140468228,0.794,accuracy,0.007012605667114258,0.004002809524536133,2.693711280822754,0.007012605667114258,0.004002809524536133,2.693711280822754,1,True,7
2,LightGBMLarge,0.7759197324414716,0.806,accuracy,0.010999202728271484,0.005002737045288086,2.0554611682891846,0.010999202728271484,0.005002737045288086,2.0554611682891846,1,True,13
3,WeightedEnsemble_L2,0.7759197324414716,0.812,accuracy,0.1487734317779541,0.07142138481140137,6.493937969207764,0.002998828887939453,0.0009911060333251953,0.09468889236450195,2,True,14
4,RandomForestGini,0.7625418060200669,0.73,accuracy,0.07600569725036621,0.06290340423583984,0.7626125812530518,0.07600569725036621,0.06290340423583984,0.7626125812530518,1,True,5
5,RandomForestEntr,0.7558528428093646,0.754,accuracy,0.0766289234161377,0.06233835220336914,0.7662200927734375,0.0766289234161377,0.06233835220336914,0.7662200927734375,1,True,6
6,XGBoost,0.745819397993311,0.806,accuracy,0.014496088027954102,0.0029981136322021484,0.8626790046691895,0.014496088027954102,0.0029981136322021484,0.8626790046691895,1,True,11
7,LightGBMXT,0.7391304347826086,0.78,accuracy,0.011558055877685547,0.005999326705932617,1.513357400894165,0.011558055877685547,0.005999326705932617,1.513357400894165,1,True,3
8,ExtraTreesEntr,0.7023411371237458,0.704,accuracy,0.09046554565429688,0.09753203392028809,0.7509737014770508,0.09046554565429688,0.09753203392028809,0.7509737014770508,1,True,9
9,ExtraTreesGini,0.68561872909699,0.692,accuracy,0.10726475715637207,0.04646563529968262,0.7768886089324951,0.10726475715637207,0.04646563529968262,0.7768886089324951,1,True,8
10,NeuralNetTorch,0.6622073578595318,0.66,accuracy,0.014999628067016602,0.026812314987182617,5.692456960678101,0.014999628067016602,0.026812314987182617,5.692456960678101,1,True,12
11,KNeighborsDist,0.6321070234113713,0.638,accuracy,0.006001949310302734,0.011960983276367188,0.010509014129638672,0.006001949310302734,0.011960983276367188,0.010509014129638672,1,True,2
12,KNeighborsUnif,0.6321070234113713,0.638,accuracy,0.010002851486206055,0.053781747817993164,0.020473003387451172,0.010002851486206055,0.053781747817993164,0.020473003387451172,1,True,1
13,NeuralNetFastAI,0.6020066889632107,0.674,accuracy,0.014031648635864258,0.01999950408935547,2.4164602756500244,0.014031648635864258,0.01999950408935547,2.4164602756500244,1,True,10
