,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,CatBoost,0.8093645484949833,0.794,accuracy,0.006588935852050781,0.0009980201721191406,2.429110527038574,0.006588935852050781,0.0009980201721191406,2.429110527038574,1,True,7
1,LightGBM,0.8060200668896321,0.794,accuracy,0.012511491775512695,0.006510257720947266,1.3956398963928223,0.012511491775512695,0.006510257720947266,1.3956398963928223,1,True,4
2,LightGBMLarge,0.7993311036789298,0.806,accuracy,0.010950803756713867,0.0045125484466552734,2.0640740394592285,0.010950803756713867,0.0045125484466552734,2.0640740394592285,1,True,13
3,WeightedEnsemble_L2,0.7993311036789298,0.812,accuracy,0.15061450004577637,0.08462810516357422,6.251906156539917,0.002997875213623047,0.0,0.11418390274047852,2,True,14
4,XGBoost,0.7926421404682275,0.806,accuracy,0.029993772506713867,0.0030074119567871094,0.9432642459869385,0.029993772506713867,0.0030074119567871094,0.9432642459869385,1,True,11
5,LightGBMXT,0.7892976588628763,0.78,accuracy,0.01504063606262207,0.004513978958129883,1.0443391799926758,0.01504063606262207,0.004513978958129883,1.0443391799926758,1,True,3
6,RandomForestEntr,0.7725752508361204,0.754,accuracy,0.06928038597106934,0.046385765075683594,0.7279181480407715,0.06928038597106934,0.046385765075683594,0.7279181480407715,1,True,6
7,RandomForestGini,0.7625418060200669,0.73,accuracy,0.07911515235900879,0.04735445976257324,0.7173559665679932,0.07911515235900879,0.04735445976257324,0.7173559665679932,1,True,5
8,ExtraTreesGini,0.6989966555183946,0.692,accuracy,0.08655810356140137,0.06910324096679688,0.6937680244445801,0.08655810356140137,0.06910324096679688,0.6937680244445801,1,True,8
9,ExtraTreesEntr,0.6989966555183946,0.704,accuracy,0.10838747024536133,0.04831981658935547,0.7637896537780762,0.10838747024536133,0.04831981658935547,0.7637896537780762,1,True,9
10,KNeighborsDist,0.6789297658862876,0.638,accuracy,0.013525009155273438,0.00700688362121582,0.0075054168701171875,0.013525009155273438,0.00700688362121582,0.0075054168701171875,1,True,2
11,KNeighborsUnif,0.6789297658862876,0.638,accuracy,0.03315591812133789,0.011499881744384766,0.0065572261810302734,0.03315591812133789,0.011499881744384766,0.0065572261810302734,1,True,1
12,NeuralNetTorch,0.6555183946488294,0.66,accuracy,0.04112100601196289,0.015192508697509766,6.415292263031006,0.04112100601196289,0.015192508697509766,6.415292263031006,1,True,12
13,NeuralNetFastAI,0.6321070234113713,0.674,accuracy,0.01713109016418457,0.023434877395629883,2.4339208602905273,0.01713109016418457,0.023434877395629883,2.4339208602905273,1,True,10
