,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestGini,0.7324414715719063,0.73,accuracy,0.10031580924987793,0.06197333335876465,0.7843942642211914,0.10031580924987793,0.06197333335876465,0.7843942642211914,1,True,5
1,WeightedEnsemble_L2,0.7324414715719063,0.766,accuracy,0.29827165603637695,0.14474749565124512,15.093479871749878,0.00500035285949707,0.0,0.12024116516113281,2,True,14
2,LightGBMLarge,0.7290969899665551,0.752,accuracy,0.02605748176574707,0.00750422477722168,2.328446626663208,0.02605748176574707,0.00750422477722168,2.328446626663208,1,True,13
3,LightGBM,0.725752508361204,0.738,accuracy,0.003503084182739258,0.003001689910888672,0.5905599594116211,0.003503084182739258,0.003001689910888672,0.5905599594116211,1,True,4
4,RandomForestEntr,0.7123745819397993,0.714,accuracy,0.06932878494262695,0.03981161117553711,0.8040781021118164,0.06932878494262695,0.03981161117553711,0.8040781021118164,1,True,6
5,ExtraTreesGini,0.7123745819397993,0.716,accuracy,0.07733607292175293,0.04973149299621582,0.6287727355957031,0.07733607292175293,0.04973149299621582,0.6287727355957031,1,True,8
6,XGBoost,0.7023411371237458,0.74,accuracy,0.025071144104003906,0.001996278762817383,0.8941934108734131,0.025071144104003906,0.001996278762817383,0.8941934108734131,1,True,11
7,LightGBMXT,0.6989966555183946,0.732,accuracy,0.007513523101806641,0.0036983489990234375,1.8479716777801514,0.007513523101806641,0.0036983489990234375,1.8479716777801514,1,True,3
8,CatBoost,0.6956521739130435,0.736,accuracy,0.010314702987670898,0.001992464065551758,3.8730289936065674,0.010314702987670898,0.001992464065551758,3.8730289936065674,1,True,7
9,ExtraTreesEntr,0.6923076923076923,0.702,accuracy,0.12044501304626465,0.06696748733520508,0.6422460079193115,0.12044501304626465,0.06696748733520508,0.6422460079193115,1,True,9
10,NeuralNetFastAI,0.6889632107023411,0.716,accuracy,0.03429269790649414,0.033528804779052734,2.8039028644561768,0.03429269790649414,0.033528804779052734,2.8039028644561768,1,True,10
11,NeuralNetTorch,0.6588628762541806,0.718,accuracy,0.030543804168701172,0.013553857803344727,6.015990972518921,0.030543804168701172,0.013553857803344727,6.015990972518921,1,True,12
12,KNeighborsUnif,0.4983277591973244,0.548,accuracy,0.012022018432617188,0.24155831336975098,2.1882972717285156,0.012022018432617188,0.24155831336975098,2.1882972717285156,1,True,1
13,KNeighborsDist,0.4916387959866221,0.554,accuracy,0.008530378341674805,0.010526180267333984,0.012531757354736328,0.008530378341674805,0.010526180267333984,0.012531757354736328,1,True,2
