,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesEntr,0.7391304347826086,0.694,accuracy,0.10830450057983398,0.058747291564941406,0.7468183040618896,0.10830450057983398,0.058747291564941406,0.7468183040618896,1,True,9
1,RandomForestGini,0.7357859531772575,0.706,accuracy,0.08388757705688477,0.05045795440673828,0.7011287212371826,0.08388757705688477,0.05045795440673828,0.7011287212371826,1,True,5
2,RandomForestEntr,0.7324414715719063,0.718,accuracy,0.07012701034545898,0.04875922203063965,0.7317895889282227,0.07012701034545898,0.04875922203063965,0.7317895889282227,1,True,6
3,ExtraTreesGini,0.7324414715719063,0.706,accuracy,0.07645535469055176,0.06103515625,0.7949972152709961,0.07645535469055176,0.06103515625,0.7949972152709961,1,True,8
4,WeightedEnsemble_L2,0.7324414715719063,0.76,accuracy,0.42356085777282715,0.26410770416259766,13.458532810211182,0.005003929138183594,0.001004934310913086,0.11200928688049316,2,True,14
5,XGBoost,0.725752508361204,0.732,accuracy,0.01752305030822754,0.0039997100830078125,1.0448272228240967,0.01752305030822754,0.0039997100830078125,1.0448272228240967,1,True,11
6,LightGBMLarge,0.7190635451505016,0.71,accuracy,0.019545555114746094,0.007791280746459961,2.318971872329712,0.019545555114746094,0.007791280746459961,2.318971872329712,1,True,13
7,CatBoost,0.7157190635451505,0.728,accuracy,0.00810694694519043,0.0010006427764892578,1.7925975322723389,0.00810694694519043,0.0010006427764892578,1.7925975322723389,1,True,7
8,LightGBMXT,0.7157190635451505,0.74,accuracy,0.010514497756958008,0.003999471664428711,0.8836977481842041,0.010514497756958008,0.003999471664428711,0.8836977481842041,1,True,3
9,LightGBM,0.7090301003344481,0.728,accuracy,0.015028715133666992,0.006511211395263672,1.3331613540649414,0.015028715133666992,0.006511211395263672,1.3331613540649414,1,True,4
10,NeuralNetFastAI,0.6923076923076923,0.7,accuracy,0.020110130310058594,0.022547245025634766,2.038999080657959,0.020110130310058594,0.022547245025634766,2.038999080657959,1,True,10
11,NeuralNetTorch,0.6789297658862876,0.706,accuracy,0.023527860641479492,0.012556076049804688,4.611668109893799,0.023527860641479492,0.012556076049804688,4.611668109893799,1,True,12
12,KNeighborsUnif,0.5016722408026756,0.554,accuracy,0.02611708641052246,0.013169527053833008,0.0074846744537353516,0.02611708641052246,0.013169527053833008,0.0074846744537353516,1,True,1
13,KNeighborsDist,0.4983277591973244,0.558,accuracy,0.011109590530395508,0.00750422477722168,0.010509967803955078,0.011109590530395508,0.00750422477722168,0.010509967803955078,1,True,2
