,importance,stddev,p_value,n,p99_high,p99_low
Pupil Diameter Mean,0.08428093645484944,0.01484437526499808,0.00011085578425254883,5,0.11484571029655036,0.053716162613148516
Saccade Duration Min,0.071571906354515,0.02123153210448678,0.0008295132189106653,5,0.11528792440861227,0.02785588830041775
Fixation Duration Min,0.06020066889632103,0.033694718527775704,0.0080981923099063,5,0.12957856005551271,-0.009177222262870655
Fixation Dispersion Mean,0.013377926421404673,0.005288089732723039,0.002406339165022112,5,0.024266176270248765,0.002489676572560582
Fixation Count,0.011371237458193972,0.006519594879470875,0.008770233744444647,5,0.024795173425401846,-0.0020526985090139026
Fixation Duration Mean,0.010033444816053505,0.009750755676998823,0.04142871404155458,5,0.03011038552475964,-0.010043495892652628
Saccade Duration Mean,0.008695652173913038,0.006075552550028407,0.016444466698256884,5,0.02120529884748166,-0.0038139944996555836
Saccade Duration Max,0.004682274247491636,0.0029913952876251346,0.012448081730111369,5,0.010841598490188483,-0.001477049995205211
Blink Duration Max,0.004013377926421402,0.00436067050515227,0.05435047566246176,5,0.012992058767401346,-0.004965302914558543
Saccade Peak Acceleration Mean,0.0033444816053511683,0.010308384620349453,0.25416483112110844,5,0.0245695880156673,-0.017880624804964964
Saccade Amplitude Max,0.002006688963210701,0.010991088110471553,0.35200000000000004,5,0.024637491295653242,-0.02062411336923184
Saccade Peak Velocity Mean,0.002006688963210701,0.008394582206027509,0.31065414751874854,5,0.019291249750877558,-0.015277871824456155
Saccade Count,0.0006688963210702336,0.01695490549249039,0.4669724422123605,5,0.03557928107180555,-0.03424148842966508
Saccade Peak Deceleration Min,0.0,0.004096136693617352,0.5,5,0.00843400206678372,-0.00843400206678372
Blink Duration Mean,0.0,0.01134168893499208,0.5,5,0.023352694275948667,-0.023352694275948667
Saccade Peak Velocity Min,-0.0006688963210702336,0.007250663340695246,0.5766783821032062,5,0.014260319712238564,-0.01559811235437903
Pupil Diameter Max,-0.0013377926421404673,0.006075552550028408,0.6758693525163464,5,0.011171854031428157,-0.01384743931570909
Fixation Dispersion Max,-0.0013377926421404673,0.0029913952876251346,0.8130495168499705,5,0.004821531600556379,-0.007497116884837314
Saccade Amplitude Mean,-0.002006688963210701,0.007327392073647703,0.7133038730873222,5,0.013080512591750994,-0.017093890518172394
Saccade Peak Deceleration Max,-0.002006688963210701,0.003813295736117516,0.8477206076597326,5,0.005844939662803379,-0.009858317589224782
Pupil Diameter Min,-0.0033444816053511683,0.0062569521517958845,0.8509925941343948,5,0.009538669355465629,-0.016227632566167965
Saccade Direction Mean,-0.0033444816053511683,0.005792812065447747,0.866867686016845,5,0.008582998502577082,-0.015271961713279419
Saccade Amplitude Min,-0.004013377926421402,0.006433238816612485,0.8822518198702785,5,0.009232749713793419,-0.017259505566636222
Blink Count,-0.00735785953177257,0.007626591472235032,0.9514074074074074,5,0.00834539772025559,-0.023061116783800732
Saccade Peak Velocity Max,-0.008026755852842803,0.007699574871719954,0.9599216628948891,5,0.007826775227462595,-0.0238802869331482
Fixation Dispersion Min,-0.008026755852842803,0.005596388137351672,0.9836610383315985,5,0.0034962846722684307,-0.019549796377954037
Saccade Direction Min,-0.008026755852842803,0.00872134101030454,0.9456495243375382,5,0.009930605829117086,-0.025984117534802693
Fixation Duration Max,-0.008695652173913038,0.008394582206027509,0.9592650102250873,5,0.008588908613753818,-0.025980212961579895
Saccade Peak Acceleration Max,-0.010033444816053505,0.0023649056226974817,0.9996555453175302,5,-0.0051640714524500645,-0.014902818179656946
Saccade Peak Acceleration Min,-0.012040133779264207,0.007327392073647703,0.9893441794356217,5,0.0030470677756974877,-0.0271273353342259
Saccade Peak Deceleration Mean,-0.01270903010033444,0.010416328764145435,0.9737309141808626,5,0.00873833479400424,-0.03415639499467312
Saccade Direction Max,-0.02006688963210701,0.00884866659218926,0.9964370987765194,5,-0.0018473628172199288,-0.03828641644699409
