,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.802676,0.794,accuracy,0.003002,0.004004,0.453555,0.003002,0.004004,0.453555,1,True,4
1,WeightedEnsemble_L2,0.802676,0.794,accuracy,0.004999,0.004004,0.57543,0.001997,0.0,0.121875,2,True,14
2,XGBoost,0.799331,0.778,accuracy,0.011,0.002,0.365412,0.011,0.002,0.365412,1,True,11
3,CatBoost,0.795987,0.792,accuracy,0.004995,0.000997,1.501873,0.004995,0.000997,1.501873,1,True,7
4,LightGBMLarge,0.77592,0.77,accuracy,0.009001,0.003965,0.939851,0.009001,0.003965,0.939851,1,True,13
5,LightGBMXT,0.765886,0.748,accuracy,0.014998,0.008,1.039885,0.014998,0.008,1.039885,1,True,3
6,RandomForestGini,0.762542,0.746,accuracy,0.082999,0.050177,0.61038,0.082999,0.050177,0.61038,1,True,5
7,RandomForestEntr,0.762542,0.746,accuracy,0.083019,0.046991,0.584679,0.083019,0.046991,0.584679,1,True,6
8,NeuralNetTorch,0.715719,0.694,accuracy,0.009,0.005995,5.471296,0.009,0.005995,5.471296,1,True,12
9,ExtraTreesGini,0.715719,0.726,accuracy,0.088987,0.047938,0.549792,0.088987,0.047938,0.549792,1,True,8
10,ExtraTreesEntr,0.70903,0.724,accuracy,0.090014,0.080777,0.827873,0.090014,0.080777,0.827873,1,True,9
11,NeuralNetFastAI,0.672241,0.67,accuracy,0.018985,0.006938,2.030058,0.018985,0.006938,2.030058,1,True,10
12,KNeighborsUnif,0.668896,0.634,accuracy,0.021979,0.019521,0.006003,0.021979,0.019521,0.006003,1,True,1
13,KNeighborsDist,0.665552,0.64,accuracy,0.015999,0.018095,0.003999,0.015999,0.018095,0.003999,1,True,2
