,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.668896,0.702,accuracy,0.044166,0.002,0.726316,0.044166,0.002,0.726316,1,True,11
1,RandomForestGini,0.668896,0.68,accuracy,0.076001,0.050597,0.646116,0.076001,0.050597,0.646116,1,True,6
2,WeightedEnsemble_L2,0.662207,0.71,accuracy,0.280986,0.182631,10.328972,0.002998,0.001017,0.106019,2,True,14
3,LightGBM,0.655518,0.69,accuracy,0.008,0.005001,0.712404,0.008,0.005001,0.712404,1,True,5
4,CatBoost,0.655518,0.702,accuracy,0.008,0.001001,2.656607,0.008,0.001001,2.656607,1,True,8
5,LightGBMXT,0.655518,0.682,accuracy,0.081992,0.048008,3.169395,0.081992,0.048008,3.169395,1,True,4
6,RandomForestEntr,0.655518,0.678,accuracy,0.087,0.062999,0.820777,0.087,0.062999,0.820777,1,True,7
7,LightGBMLarge,0.64214,0.696,accuracy,0.012002,0.004252,1.867059,0.012002,0.004252,1.867059,1,True,13
8,ExtraTreesEntr,0.628763,0.646,accuracy,0.112014,0.064958,0.657181,0.112014,0.064958,0.657181,1,True,10
9,ExtraTreesGini,0.608696,0.646,accuracy,0.098692,0.077346,0.718777,0.098692,0.077346,0.718777,1,True,9
10,NeuralNetTorch,0.588629,0.614,accuracy,0.009999,0.004919,6.887283,0.009999,0.004919,6.887283,1,True,12
11,NeuralNetFastAI,0.505017,0.578,accuracy,0.016995,0.014008,2.217653,0.016995,0.014008,2.217653,1,True,3
12,KNeighborsUnif,0.501672,0.522,accuracy,0.036007,0.018043,0.004001,0.036007,0.018043,0.004001,1,True,1
13,KNeighborsDist,0.498328,0.548,accuracy,0.032999,0.016026,0.003999,0.032999,0.016026,0.003999,1,True,2
