,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetTorch,0.6894409937888198,0.756,accuracy,0.021007061004638672,0.004980802536010742,11.962566137313843,0.021007061004638672,0.004980802536010742,11.962566137313843,1,True,12
1,RandomForestGini,0.6024844720496895,0.77,accuracy,0.07051277160644531,0.0495452880859375,0.7163326740264893,0.07051277160644531,0.0495452880859375,0.7163326740264893,1,True,5
2,LightGBM,0.577639751552795,0.802,accuracy,0.003000974655151367,0.004000186920166016,0.602241039276123,0.003000974655151367,0.004000186920166016,0.602241039276123,1,True,4
3,RandomForestEntr,0.577639751552795,0.772,accuracy,0.06730079650878906,0.04752659797668457,0.7091765403747559,0.06730079650878906,0.04752659797668457,0.7091765403747559,1,True,6
4,ExtraTreesGini,0.5714285714285714,0.744,accuracy,0.13483119010925293,0.07618546485900879,0.9251441955566406,0.13483119010925293,0.07618546485900879,0.9251441955566406,1,True,8
5,ExtraTreesEntr,0.5652173913043478,0.746,accuracy,0.10224628448486328,0.052112579345703125,0.6791322231292725,0.10224628448486328,0.052112579345703125,0.6791322231292725,1,True,9
6,CatBoost,0.546583850931677,0.81,accuracy,0.003989219665527344,0.0009999275207519531,1.3974192142486572,0.003989219665527344,0.0009999275207519531,1.3974192142486572,1,True,7
7,WeightedEnsemble_L2,0.5403726708074534,0.816,accuracy,0.10550260543823242,0.053540945053100586,2.6944522857666016,0.0029973983764648438,0.000995635986328125,0.11269807815551758,2,True,14
8,LightGBMXT,0.5341614906832298,0.776,accuracy,0.009169340133666992,0.006000041961669922,0.7300562858581543,0.009169340133666992,0.006000041961669922,0.7300562858581543,1,True,3
9,LightGBMLarge,0.5341614906832298,0.802,accuracy,0.015513420104980469,0.00500035285949707,1.1874966621398926,0.015513420104980469,0.00500035285949707,1.1874966621398926,1,True,13
10,XGBoost,0.5341614906832298,0.802,accuracy,0.028003215789794922,0.002000093460083008,0.4680023193359375,0.028003215789794922,0.002000093460083008,0.4680023193359375,1,True,11
11,NeuralNetFastAI,0.5031055900621118,0.69,accuracy,0.02697920799255371,0.016998767852783203,2.601386070251465,0.02697920799255371,0.016998767852783203,2.601386070251465,1,True,10
12,KNeighborsDist,0.4968944099378882,0.676,accuracy,0.018891572952270508,0.017635107040405273,0.005011081695556641,0.018891572952270508,0.017635107040405273,0.005011081695556641,1,True,2
13,KNeighborsUnif,0.484472049689441,0.676,accuracy,0.021323204040527344,0.018824100494384766,0.003960132598876953,0.021323204040527344,0.018824100494384766,0.003960132598876953,1,True,1
