model,average_score_test_bi_10,average_score_test_ter_10,average_score_test_bi_loso,average_score_test_ter_loso
CatBoost,0.7892359318533815,0.6968844694844111,0.6049660587366125,0.4685702291686028
ExtraTreesEntr,0.7544398554465669,0.6687717447419811,0.6097545978799103,0.4767657915106647
ExtraTreesGini,0.7554420776189087,0.6798119009674306,0.611612295617412,0.481821765753544
KNeighborsDist,0.6557495903571188,0.556362371215012,0.5812735228416248,0.4558858350234844
KNeighborsUnif,0.6544117977149784,0.546672353033602,0.5847477495357246,0.4635730021255303
LightGBM,0.786889183183318,0.6928632353931449,0.5927691752416848,0.45453588932920735
LightGBMLarge,0.7721689748827187,0.6955343314403717,0.6042542792745671,0.4748311718373064
LightGBMXT,0.7765168009696752,0.6811609167022065,0.6202137335889768,0.47046357635084624
NeuralNetFastAI,0.677492087719692,0.5557136764606855,0.6352714599642768,0.49403369502146366
NeuralNetTorch,0.7132926309173756,0.6005297299723912,0.6337681990392576,0.46937033826347613
RandomForestEntr,0.7798601602657629,0.7049123476465174,0.5996619008794214,0.4469563454942893
RandomForestGini,0.7788579380934211,0.6992222396803662,0.6062151602826543,0.45102987606857653
WeightedEnsemble_L2,0.7882303427532491,0.6881775942178627,0.6186249805868329,0.4791043492062458
XGBoost,0.7919092725191355,0.692190972144284,0.6159267530764678,0.4685653969841453
