,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.725752508361204,0.736,accuracy,0.013958930969238281,0.007954597473144531,1.6518380641937256,0.013958930969238281,0.007954597473144531,1.6518380641937256,1,True,5
1,WeightedEnsemble_L2,0.7224080267558528,0.74,accuracy,0.03527188301086426,0.016675472259521484,3.3470351696014404,0.005265712738037109,0.0005199909210205078,0.16060757637023926,2,True,14
2,LightGBMLarge,0.705685618729097,0.73,accuracy,0.062448978424072266,0.01491403579711914,5.1150548458099365,0.062448978424072266,0.01491403579711914,5.1150548458099365,1,True,13
3,CatBoost,0.6956521739130435,0.716,accuracy,0.01355743408203125,0.0010001659393310547,5.936650037765503,0.01355743408203125,0.0010001659393310547,5.936650037765503,1,True,8
4,XGBoost,0.6889632107023411,0.734,accuracy,0.09038996696472168,0.003004312515258789,1.7937166690826416,0.09038996696472168,0.003004312515258789,1.7937166690826416,1,True,11
5,LightGBMXT,0.6588628762541806,0.706,accuracy,0.016047239303588867,0.008200883865356445,1.5345895290374756,0.016047239303588867,0.008200883865356445,1.5345895290374756,1,True,4
6,RandomForestEntr,0.6287625418060201,0.674,accuracy,0.07780599594116211,0.049437761306762695,0.7945799827575684,0.07780599594116211,0.049437761306762695,0.7945799827575684,1,True,7
7,RandomForestGini,0.6254180602006689,0.676,accuracy,0.11529421806335449,0.048950910568237305,0.7267518043518066,0.11529421806335449,0.048950910568237305,0.7267518043518066,1,True,6
8,ExtraTreesGini,0.5484949832775919,0.602,accuracy,0.14460229873657227,0.06008172035217285,0.7363648414611816,0.14460229873657227,0.06008172035217285,0.7363648414611816,1,True,9
9,ExtraTreesEntr,0.5284280936454849,0.592,accuracy,0.08856654167175293,0.04636883735656738,0.7290608882904053,0.08856654167175293,0.04636883735656738,0.7290608882904053,1,True,10
10,KNeighborsUnif,0.4916387959866221,0.546,accuracy,0.010547399520874023,0.01604294776916504,0.015822887420654297,0.010547399520874023,0.01604294776916504,0.015822887420654297,1,True,1
11,NeuralNetTorch,0.4916387959866221,0.568,accuracy,0.020450592041015625,0.010684728622436523,2.7816574573516846,0.020450592041015625,0.010684728622436523,2.7816574573516846,1,True,12
12,NeuralNetFastAI,0.4882943143812709,0.576,accuracy,0.016087770462036133,0.01063847541809082,2.9496541023254395,0.016087770462036133,0.01063847541809082,2.9496541023254395,1,True,3
13,KNeighborsDist,0.48494983277591974,0.548,accuracy,0.006000995635986328,0.007975339889526367,0.010179758071899414,0.006000995635986328,0.007975339889526367,0.010179758071899414,1,True,2
