,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.6254180602006689,0.668,accuracy,0.08940649032592773,0.010530710220336914,3.3820960521698,0.08940649032592773,0.010530710220336914,3.3820960521698,1,True,11
1,LightGBMXT,0.6187290969899666,0.66,accuracy,0.024560213088989258,0.00850820541381836,1.6734530925750732,0.024560213088989258,0.00850820541381836,1.6734530925750732,1,True,4
2,WeightedEnsemble_L2,0.6153846153846154,0.682,accuracy,0.3482391834259033,0.13455486297607422,20.259490251541138,0.005004405975341797,0.0009989738464355469,0.10311174392700195,2,True,14
3,CatBoost,0.6086956521739131,0.648,accuracy,0.008536815643310547,0.0020287036895751953,5.028898000717163,0.008536815643310547,0.0020287036895751953,5.028898000717163,1,True,8
4,LightGBMLarge,0.6020066889632107,0.664,accuracy,0.0846407413482666,0.019057512283325195,5.066286325454712,0.0846407413482666,0.019057512283325195,5.066286325454712,1,True,13
5,NeuralNetFastAI,0.5986622073578596,0.63,accuracy,0.017017602920532227,0.027588605880737305,2.345869779586792,0.017017602920532227,0.027588605880737305,2.345869779586792,1,True,3
6,RandomForestGini,0.5919732441471572,0.634,accuracy,0.09353756904602051,0.05031752586364746,0.7418386936187744,0.09353756904602051,0.05031752586364746,0.7418386936187744,1,True,6
7,LightGBM,0.5819397993311036,0.664,accuracy,0.02553534507751465,0.015524625778198242,1.9179365634918213,0.02553534507751465,0.015524625778198242,1.9179365634918213,1,True,5
8,RandomForestEntr,0.5819397993311036,0.632,accuracy,0.07553219795227051,0.04866790771484375,0.8622841835021973,0.07553219795227051,0.04866790771484375,0.8622841835021973,1,True,7
9,NeuralNetTorch,0.5652173913043478,0.61,accuracy,0.026541709899902344,0.013562202453613281,4.463677644729614,0.026541709899902344,0.013562202453613281,4.463677644729614,1,True,12
10,ExtraTreesGini,0.5618729096989966,0.612,accuracy,0.11386656761169434,0.11030316352844238,0.7601783275604248,0.11386656761169434,0.11030316352844238,0.7601783275604248,1,True,9
11,ExtraTreesEntr,0.5585284280936454,0.606,accuracy,0.169097900390625,0.10006093978881836,0.9060869216918945,0.169097900390625,0.10006093978881836,0.9060869216918945,1,True,10
12,KNeighborsUnif,0.411371237458194,0.46,accuracy,0.010509729385375977,0.01914215087890625,0.008548974990844727,0.010509729385375977,0.01914215087890625,0.008548974990844727,1,True,1
13,KNeighborsDist,0.391304347826087,0.452,accuracy,0.005513906478881836,0.00852060317993164,0.00992894172668457,0.005513906478881836,0.00852060317993164,0.00992894172668457,1,True,2
