,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,CatBoost,0.6086956521739131,0.642,accuracy,0.008001089096069336,0.0015087127685546875,5.35506534576416,0.008001089096069336,0.0015087127685546875,5.35506534576416,1,True,8
1,XGBoost,0.6020066889632107,0.632,accuracy,0.0879206657409668,0.003000020980834961,1.7654914855957031,0.0879206657409668,0.003000020980834961,1.7654914855957031,1,True,11
2,LightGBMXT,0.5886287625418061,0.63,accuracy,0.012040376663208008,0.00599980354309082,1.124049425125122,0.012040376663208008,0.00599980354309082,1.124049425125122,1,True,4
3,WeightedEnsemble_L2,0.5886287625418061,0.65,accuracy,0.26865553855895996,0.11852574348449707,9.945849418640137,0.004513263702392578,0.0010020732879638672,0.11518454551696777,2,True,14
4,LightGBMLarge,0.5819397993311036,0.622,accuracy,0.026554346084594727,0.006518840789794922,4.093070030212402,0.026554346084594727,0.006518840789794922,4.093070030212402,1,True,13
5,RandomForestGini,0.5752508361204013,0.602,accuracy,0.06909680366516113,0.05059480667114258,0.7329466342926025,0.06909680366516113,0.05059480667114258,0.7329466342926025,1,True,6
6,ExtraTreesEntr,0.5752508361204013,0.598,accuracy,0.15102696418762207,0.07607030868530273,0.8342344760894775,0.15102696418762207,0.07607030868530273,0.8342344760894775,1,True,10
7,NeuralNetFastAI,0.5719063545150501,0.61,accuracy,0.017020702362060547,0.008552789688110352,2.3834316730499268,0.017020702362060547,0.008552789688110352,2.3834316730499268,1,True,3
8,ExtraTreesGini,0.5618729096989966,0.606,accuracy,0.08438277244567871,0.05006837844848633,0.7458314895629883,0.08438277244567871,0.05006837844848633,0.7458314895629883,1,True,9
9,RandomForestEntr,0.5585284280936454,0.618,accuracy,0.08108329772949219,0.04888916015625,0.8405897617340088,0.08108329772949219,0.04888916015625,0.8405897617340088,1,True,7
10,LightGBM,0.5518394648829431,0.622,accuracy,0.003510713577270508,0.0049991607666015625,1.0166456699371338,0.003510713577270508,0.0049991607666015625,1.0166456699371338,1,True,5
11,NeuralNetTorch,0.5484949832775919,0.598,accuracy,0.028043270111083984,0.015084505081176758,4.193729400634766,0.028043270111083984,0.015084505081176758,4.193729400634766,1,True,12
12,KNeighborsDist,0.3979933110367893,0.466,accuracy,0.006000041961669922,0.007531166076660156,0.012522220611572266,0.006000041961669922,0.007531166076660156,0.012522220611572266,1,True,2
13,KNeighborsUnif,0.391304347826087,0.466,accuracy,0.00850987434387207,0.02565789222717285,0.0069942474365234375,0.00850987434387207,0.02565789222717285,0.0069942474365234375,1,True,1
