,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.7023411371237458,0.74,accuracy,0.02352142333984375,0.008972406387329102,1.8403608798980713,0.02352142333984375,0.008972406387329102,1.8403608798980713,1,True,5
1,WeightedEnsemble_L2,0.6989966555183946,0.742,accuracy,0.05552053451538086,0.03126668930053711,2.0046045780181885,0.003999233245849609,0.001001119613647461,0.1448960304260254,2,True,14
2,CatBoost,0.6956521739130435,0.714,accuracy,0.007030010223388672,0.00197601318359375,6.4302451610565186,0.007030010223388672,0.00197601318359375,6.4302451610565186,1,True,8
3,LightGBMLarge,0.6923076923076923,0.706,accuracy,0.03738284111022949,0.011438608169555664,4.572567701339722,0.03738284111022949,0.011438608169555664,4.572567701339722,1,True,13
4,XGBoost,0.6789297658862876,0.72,accuracy,0.05752277374267578,0.004001617431640625,1.9786577224731445,0.05752277374267578,0.004001617431640625,1.9786577224731445,1,True,11
5,LightGBMXT,0.6521739130434783,0.69,accuracy,0.015004873275756836,0.005980253219604492,1.5203166007995605,0.015004873275756836,0.005980253219604492,1.5203166007995605,1,True,4
6,RandomForestEntr,0.6287625418060201,0.67,accuracy,0.06245589256286621,0.047261714935302734,0.8635482788085938,0.06245589256286621,0.047261714935302734,0.8635482788085938,1,True,7
7,RandomForestGini,0.6086956521739131,0.666,accuracy,0.08877158164978027,0.04717445373535156,0.7358815670013428,0.08877158164978027,0.04717445373535156,0.7358815670013428,1,True,6
8,ExtraTreesGini,0.5518394648829431,0.594,accuracy,0.08762431144714355,0.07667779922485352,0.6577873229980469,0.08762431144714355,0.07667779922485352,0.6577873229980469,1,True,9
9,ExtraTreesEntr,0.5518394648829431,0.598,accuracy,0.0957326889038086,0.04512357711791992,0.6795179843902588,0.0957326889038086,0.04512357711791992,0.6795179843902588,1,True,10
10,NeuralNetTorch,0.5183946488294314,0.57,accuracy,0.021999597549438477,0.02085709571838379,3.2593088150024414,0.021999597549438477,0.02085709571838379,3.2593088150024414,1,True,12
11,NeuralNetFastAI,0.4916387959866221,0.538,accuracy,0.020498037338256836,0.011035442352294922,2.39520525932312,0.020498037338256836,0.011035442352294922,2.39520525932312,1,True,3
12,KNeighborsUnif,0.4916387959866221,0.536,accuracy,0.0279998779296875,0.021293163299560547,0.019347667694091797,0.0279998779296875,0.021293163299560547,0.019347667694091797,1,True,1
13,KNeighborsDist,0.4816053511705686,0.506,accuracy,0.015999794006347656,0.007997989654541016,0.009004831314086914,0.015999794006347656,0.007997989654541016,0.009004831314086914,1,True,2
